Team,Games,W,D,L,G,GA,xG,xGA,NPxG,NPxGA
Liverpool,16,15,1,0,40,14,32.84,15.55,30.55,15.55
Leicester,16,12,2,2,39,10,27.74,16.62,25.45,15.1
Manchester City,16,10,2,4,44,19,45.89,16.63,44.37,15.87
Chelsea,16,9,2,5,31,24,32.79,19.5,32.03,17.98
Manchester United,16,6,6,4,25,19,28.03,16.57,21.94,16.57
Wolverhampton Wanderers,16,5,9,2,23,19,22.73,18.4,21.2,17.63
Tottenham,16,6,5,5,30,23,21.99,21.28,21.23,19.75
Sheffield United,16,5,7,4,19,16,19.46,20.08,19.46,20.08
Arsenal,16,5,7,4,24,24,22.5,23.91,20.97,19.94
Crystal Palace,16,6,4,6,14,18,14.51,25.6,12.23,24.84
Newcastle,16,6,4,6,17,23,12.56,28.35,12.56,28.35
Brighton,16,5,4,7,20,24,21.64,28.08,20.88,26.56
Burnley,16,5,3,8,21,29,22.36,21.16,21.6,20.4
Everton,16,5,2,9,19,28,23.63,20.81,23.63,20.05
Bournemouth,16,4,4,8,18,24,18.88,26.52,18.11,25.76
West Ham,16,4,4,8,18,28,19.07,32.42,18.31,30.89
Aston Villa,16,4,3,9,23,28,22.42,31.01,21.51,29.49
Southampton,16,4,3,9,18,35,24.2,26.68,22.52,25.16
Norwich,16,3,2,11,17,34,16.76,32.17,16.76,28.21
Watford,16,1,6,9,9,30,18.46,27.06,16.94,24.02
